Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
sites.google.com,0,0,0,2,0,0,0,0,0,1,1,0,1,1,1,1
owarstmp000008.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
secure.oldschool.com-fr.cz,0,0,1,2,1,0,0,1,1,1,1,1,1,1,1,1
paypmal.top,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,1,1,0,1
dcvg.square.site,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
att-108987.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
assaifatura.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
projectextreme0007.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
wwfckptmkg.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
bncr.liveblog365.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1
msplussolutions.com,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
banreservas.no-sese1.repl.co,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
ugpass.go.ug,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1
synapsebridger-official.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
usabrooksn.top,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
iranroga.ir,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
sfk4-fs.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
quirky-visvesvaraya.51-254-161-137.plesk.page,0,0,1,4,0,0,0,1,0,1,1,1,1,1,1,1
leblancbrothers.leblancbrothers.workers.dev,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
fannlight.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
eposeee-net.3utilities.com,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1
dossier-carte-vitale.fr,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
quotemyprojectnow88367463.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
vsevinrited.piglickwachcu.cf,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
ipchiro.com,0,0,0,2,0,0,0,0,0,1,0,1,1,1,1,1
xpertsolutionsac.com,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
business-meta-appeal-146-92866.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
some-bper-sistema-sicuro.cfolks.pl,0,0,1,6,0,0,0,1,0,0,1,1,1,1,1,1
cn52393.tw1.ru,0,0,0,3,0,0,0,0,0,0,1,1,1,1,1,1
helpcenter32008911449651.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
swaggywhales.netlify.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
att1.x24hr.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
etc-sdjklewr.onedumb.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
seoevolutions.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
dashboards-zapperfi.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
ipfs.io,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1
amazon-uytegd.toythieves.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
yamailatt.godaddysites.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
t25ore.webwave.dev,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
help-center630.crabdance.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
szcv-3s.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
s.free.fr,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1
ld-s.info,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
srvp-3uj.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
192.169.150.169,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
midwesthomesinc.com,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,1
s.eskus-tczu.icu,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
static-promote.weebly.com,0,0,1,2,0,0,0,1,0,0,1,1,1,1,0,1
findomestic.filiale03.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
server-raku.com,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1
st33-erd.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
habaricom.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
zalander-rowisa82288388.codeanyapp.com,0,0,1,4,0,0,0,1,0,1,1,1,1,1,1,1
panelweb-4cae2.web.app,0,1,1,2,0,0,0,1,0,1,1,1,1,1,1,1
repl-mess.myfreesites.net,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
acesse-luizaoficial-dezembro.blogspot.com,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
amazon-bvdsfdasaf.sexidude.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
5fd0977f-b88e-4845-aa41-52d6f7eb52a1.id.repl.co,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1
metaplatforms-case1005230462.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
bscbridge-multi.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
geralservicosexpress.com,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1
oficialapp-acessoonline-confira2023.blogspot.com,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
ameoff23k.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1
goo-koyamato-co.jp.493466275.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
bafybeidtooorcmx2c72wpzm3cyug5wfjffvjrn24l3mbqipqqsoy6tv6r4.ipfs.dweb.link,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
help-center669.crabdance.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
atacadao.juliamouracalcados.com.br,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
