Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label,Subdomain_Count
stackoverflow.com,0,0,1,3,0,0,0,0,0,0,0,1,1,1,0,0,0
medium.com,0,1,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0
twitter.com,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
nesn.com,0,0,1,3,0,0,0,0,0,0,1,0,1,1,0,0,0
kenh14.vn,0,0,1,2,0,0,0,0,0,1,1,0,1,1,0,0,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,0,0
kenh14.vn,0,0,1,2,0,0,0,0,0,1,1,0,1,1,0,0,0
torcache.net,0,0,1,2,0,0,0,0,0,1,1,1,1,1,0,0,0
aljazeera.net,0,0,1,4,0,0,0,0,0,1,1,1,1,1,0,0,0
haberler.com,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
ap.org,0,0,1,4,0,0,0,0,0,0,1,1,1,1,0,0,0
torcache.net,0,0,1,2,0,0,0,0,0,1,1,1,1,1,0,0,0
kenh14.vn,0,0,1,2,0,0,0,0,0,1,1,0,1,1,0,0,0
yourlust.com,0,0,1,2,0,0,1,0,0,1,1,1,1,1,0,0,0
tobogo.net,0,0,1,2,0,0,0,0,0,1,1,1,1,1,0,0,0
motthegioi.vn,0,0,1,2,0,0,0,0,0,1,1,0,1,1,0,0,0
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0
jezebel.com,0,0,1,2,0,0,0,0,0,1,1,0,1,1,0,0,0
mylust.com,0,0,1,3,0,0,1,0,0,1,1,1,1,1,0,0,0
perezhilton.com,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0
squarespace.com,0,0,1,5,0,0,0,0,0,1,1,0,1,1,1,0,0
fazenda.gov.br,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,0,1
ringring.vn,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,0,0
codecanyon.net,0,0,1,4,0,0,0,0,0,1,1,1,1,1,0,0,0
